               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099056,            0.029243,                   0,           0.0043729,              0.7423,           0.0071973,           0.0018563,            0.062193,            0.017752,                   0,            0.070074,           0.0033251,           0.0033251
                   1,            0.078323,            0.026965,                   0,             0.20787,             0.17927,              0.1406,            0.061114,            0.049674,             0.01683,                   0,            0.039954,           0.0065386,           0.0065386
                   2,            0.071087,            0.024793,                   0,             0.36017,             0.33894,              0.2708,             0.11279,            0.053343,            0.013617,                   0,           0.0097144,           0.0096321,           0.0096321
                   3,             0.06451,             0.02293,                   0,             0.35628,             0.40464,             0.31774,             0.13083,            0.048179,            0.013778,                   0,             0.00946,             0.00946,             0.00946
                   4,            0.057404,            0.021393,                   0,             0.58064,              0.4902,             0.50927,             0.23196,            0.040126,            0.012685,                   0,             0.00946,             0.00946,             0.00946
                   5,            0.055004,            0.020674,                   0,             0.57874,             0.49643,             0.53369,             0.24651,            0.041247,            0.011508,                   0,             0.00928,             0.00928,             0.00928
                   6,            0.052613,            0.020959,                   0,             0.54841,             0.61064,             0.54287,             0.22717,             0.04207,            0.011664,                   0,              0.0091,              0.0091,              0.0091
                   7,            0.051168,            0.020827,                   0,             0.54933,             0.63167,             0.55657,             0.24698,            0.038596,            0.011014,                   0,             0.00892,             0.00892,             0.00892
                   8,            0.048643,             0.01987,                   0,             0.58415,             0.62185,             0.56621,             0.26573,            0.036919,            0.011481,                   0,             0.00874,             0.00874,             0.00874
                   9,            0.047598,            0.019818,                   0,             0.64478,              0.6254,             0.62357,             0.26762,            0.038019,            0.010275,                   0,             0.00856,             0.00856,             0.00856
                  10,            0.046982,            0.019178,                   0,             0.56744,             0.54622,              0.5638,             0.25146,            0.039741,            0.010161,                   0,             0.00838,             0.00838,             0.00838
                  11,            0.045394,            0.019414,                   0,             0.61251,             0.62185,             0.60278,              0.3005,            0.034636,            0.011186,                   0,              0.0082,              0.0082,              0.0082
                  12,              0.0448,            0.018525,                   0,             0.54651,             0.63866,             0.54458,             0.21946,            0.038621,            0.010675,                   0,             0.00802,             0.00802,             0.00802
                  13,            0.044007,            0.019086,                   0,             0.62855,             0.64426,             0.62063,             0.27778,            0.035863,            0.010167,                   0,             0.00784,             0.00784,             0.00784
                  14,            0.044126,            0.018355,                   0,             0.60378,             0.68724,             0.61852,             0.29938,            0.036051,            0.010284,                   0,             0.00766,             0.00766,             0.00766
                  15,            0.043141,             0.01891,                   0,             0.60167,             0.68966,             0.61891,             0.29586,             0.03474,            0.010071,                   0,             0.00748,             0.00748,             0.00748
                  16,            0.041321,            0.019003,                   0,             0.60436,             0.70172,             0.65508,             0.35494,            0.033103,           0.0094569,                   0,              0.0073,              0.0073,              0.0073
                  17,            0.040971,            0.018089,                   0,             0.63163,             0.70588,             0.63412,             0.32501,            0.033031,           0.0097146,                   0,             0.00712,             0.00712,             0.00712
                  18,            0.040519,            0.017862,                   0,             0.62872,             0.67787,             0.67249,             0.35768,            0.032445,            0.009916,                   0,             0.00694,             0.00694,             0.00694
                  19,            0.040304,            0.017548,                   0,             0.67961,             0.69468,             0.70656,             0.38888,            0.031046,           0.0097737,                   0,             0.00676,             0.00676,             0.00676
                  20,            0.040132,            0.018457,                   0,             0.65055,              0.7457,             0.69367,             0.37006,            0.032667,           0.0095154,                   0,             0.00658,             0.00658,             0.00658
                  21,            0.039535,            0.017898,                   0,               0.649,             0.74581,             0.70718,             0.36689,             0.03125,            0.009809,                   0,              0.0064,              0.0064,              0.0064
                  22,            0.038276,            0.017417,                   0,             0.65776,             0.76446,             0.70719,              0.3731,            0.030393,           0.0096009,                   0,             0.00622,             0.00622,             0.00622
                  23,             0.03787,            0.017007,                   0,             0.66358,             0.73109,             0.70887,             0.36323,            0.032209,           0.0093647,                   0,             0.00604,             0.00604,             0.00604
                  24,            0.037616,             0.01786,                   0,             0.65169,             0.73372,             0.71894,              0.3902,            0.029746,           0.0095124,                   0,             0.00586,             0.00586,             0.00586
                  25,            0.038027,            0.017375,                   0,             0.66477,             0.79552,             0.78695,             0.45529,            0.028643,           0.0085328,                   0,             0.00568,             0.00568,             0.00568
                  26,            0.037897,            0.017672,                   0,             0.67082,             0.77591,             0.71495,             0.42143,             0.03091,           0.0090347,                   0,              0.0055,              0.0055,              0.0055
                  27,             0.03696,            0.017375,                   0,             0.69262,             0.73847,             0.73431,             0.38534,            0.030436,           0.0090705,                   0,             0.00532,             0.00532,             0.00532
                  28,            0.035065,            0.016201,                   0,             0.64385,             0.77311,             0.72923,             0.41391,            0.029057,           0.0092203,                   0,             0.00514,             0.00514,             0.00514
                  29,            0.035481,            0.016903,                   0,             0.65649,             0.79832,             0.73144,             0.43725,            0.027853,           0.0091239,                   0,             0.00496,             0.00496,             0.00496
                  30,            0.036234,             0.01697,                   0,             0.66761,              0.7507,             0.73131,             0.41338,            0.027891,           0.0089717,                   0,             0.00478,             0.00478,             0.00478
                  31,            0.034902,            0.016325,                   0,             0.70282,             0.78832,             0.76573,             0.37224,            0.030905,           0.0091186,                   0,              0.0046,              0.0046,              0.0046
                  32,             0.03461,             0.01704,                   0,             0.70955,             0.77327,             0.76652,              0.4514,            0.026915,           0.0087545,                   0,             0.00442,             0.00442,             0.00442
                  33,            0.034059,            0.016245,                   0,             0.70464,             0.80862,             0.77521,             0.43145,            0.028678,           0.0089752,                   0,             0.00424,             0.00424,             0.00424
                  34,            0.033172,             0.01558,                   0,             0.67814,             0.79272,              0.7841,             0.48268,            0.025933,           0.0085366,                   0,             0.00406,             0.00406,             0.00406
                  35,            0.033745,            0.016412,                   0,             0.70066,             0.80672,             0.78952,             0.50369,            0.024267,            0.008692,                   0,             0.00388,             0.00388,             0.00388
                  36,            0.033196,            0.016208,                   0,             0.73109,             0.81513,             0.80538,             0.49026,            0.026273,           0.0086353,                   0,              0.0037,              0.0037,              0.0037
                  37,            0.033407,            0.016397,                   0,             0.74662,             0.78431,             0.80051,             0.50506,            0.024773,           0.0083172,                   0,             0.00352,             0.00352,             0.00352
                  38,            0.032148,            0.015696,                   0,             0.70704,             0.82477,             0.78912,             0.48444,            0.025727,           0.0086418,                   0,             0.00334,             0.00334,             0.00334
                  39,            0.031991,            0.016166,                   0,             0.69489,             0.80392,             0.77958,             0.48147,            0.024333,           0.0084243,                   0,             0.00316,             0.00316,             0.00316
                  40,            0.031247,            0.015273,                   0,             0.71873,             0.79552,              0.8159,             0.50598,            0.024639,           0.0084786,                   0,             0.00298,             0.00298,             0.00298
                  41,            0.031991,            0.015686,                   0,              0.7561,              0.7619,             0.81085,             0.54685,            0.022746,           0.0082469,                   0,              0.0028,              0.0028,              0.0028
                  42,            0.030945,            0.015455,                   0,             0.74299,             0.80112,             0.82082,             0.53428,            0.023164,           0.0082349,                   0,             0.00262,             0.00262,             0.00262
                  43,            0.031597,            0.016826,                   0,             0.72161,             0.80594,             0.81108,             0.49918,            0.025143,           0.0083326,                   0,             0.00244,             0.00244,             0.00244
                  44,            0.030942,            0.015228,                   0,             0.71734,             0.81793,             0.81037,             0.52351,            0.024242,           0.0082197,                   0,             0.00226,             0.00226,             0.00226
                  45,            0.030629,            0.015542,                   0,             0.72655,             0.83193,             0.80885,             0.55403,            0.022106,           0.0083174,                   0,             0.00208,             0.00208,             0.00208
                  46,            0.030667,            0.015301,                   0,             0.72713,             0.82913,             0.81185,             0.54283,            0.022467,           0.0081823,                   0,              0.0019,              0.0019,              0.0019
                  47,            0.030565,            0.015676,                   0,             0.69698,             0.85154,             0.80733,             0.53232,            0.022765,           0.0083263,                   0,             0.00172,             0.00172,             0.00172
                  48,             0.02977,            0.015184,                   0,             0.71006,             0.83754,             0.80523,             0.52824,            0.023489,           0.0083578,                   0,             0.00154,             0.00154,             0.00154
                  49,            0.029592,            0.014973,                   0,             0.71036,             0.82633,             0.81515,             0.48797,            0.024997,           0.0085446,                   0,             0.00136,             0.00136,             0.00136
